cases_recovered,cases_1M_pop,cases_active,cases_total,population,cases_new,cases_critical,deaths_1M_pop,deaths_total,continent,day,country,deaths_new,tests_1M_pop,tests_total,time
44720,277812,971,45986,165529,,3,1782,295,North-America,2024-04-03,Cura&ccedil;ao,,3000640,496693,2024-04-03T07:15:05+00:00
,443335,,38008,85732,,,1353,116,Europe,2024-04-03,Isle-of-Man,,1758422,150753,2024-04-03T07:15:05+00:00
8553,467797,22882,31472,67277,,1,550,37,North-America,2024-04-03,Cayman-Islands,,3311280,222773,2024-04-03T07:15:05+00:00
24006,4377,983,25375,5797805,,,67,386,Africa,2024-04-03,Congo,,59991,347815,2024-04-03T07:15:05+00:00
4225,2728,14041,18491,6779100,,,33,225,North-America,2024-04-03,Nicaragua,,,,2024-04-03T07:15:05+00:00
17264,1786,397,17786,9957464,,,13,125,Asia,2024-04-03,Tajikistan,,,,2024-04-03T07:15:05+00:00
15427,15441,74,15690,1016097,,,186,189,Africa,2024-04-03,Djibouti,,301094,305941,2024-04-03T07:15:05+00:00
2761,210117,9189,11971,56973,,4,369,21,North-America,2024-04-03,Greenland,,2894810,164926,2024-04-03T07:15:05+00:00
10086,2782,0,10189,3662244,,,28,103,Africa,2024-04-03,Eritrea,,6470,23693,2024-04-03T07:15:05+00:00
8890,381,729,9931,26083660,,1,12,312,Africa,2024-04-03,Niger,,9759,254538,2024-04-03T07:15:05+00:00
2,354211,2164,2166,6115,,,,,Africa,2024-04-03,Saint-Helena,,,,2024-04-03T07:15:05+00:00
1930,545352,0,1930,3539,,,,,South-America,2024-04-03,Falkland-Islands,,2439107,8632,2024-04-03T07:15:05+00:00
1376,282578,19,1403,4965,,,1611,8,North-America,2024-04-03,Montserrat,,3577442,17762,2024-04-03T07:15:05+00:00
699,,0,712,,,,,13,,2024-04-03,Diamond-Princess,,,,2024-04-03T07:15:05+00:00
29,36295,0,29,799,,,,,Europe,2024-04-03,Vatican-City,,,,2024-04-03T07:15:05+00:00
9,16,0,10,626161,,,2,1,Africa,2024-04-03,Western-Sahara,,,,2024-04-03T07:15:05+00:00
7,,0,9,,,,,2,,2024-04-03,MS-Zaandam,,,,2024-04-03T07:15:05+00:00
379053,347,118977,503302,1448471400,,,4,5272,Asia,2024-04-03,China,,110461,160000000,2024-04-03T07:15:05+00:00
16907,11512,139,17229,1496662,+7,5,122,183,Africa,2024-04-03,Equatorial-Guinea,,244342,365697,2024-04-03T07:15:05+00:00
7783,1525,12,8090,5305117,,2,56,295,Africa,2024-04-03,Liberia,,26356,139824,2024-04-03T07:15:05+00:00
5347,494635,45,5393,10903,,,92,1,Oceania,2024-04-03,Nauru,,1881042,20509,2024-04-03T07:15:05+00:00
10476,438398,1168,11682,26647,+3,,1426,38,North-America,2024-04-03,Caribbean-Netherlands,,1130559,30126,2024-04-03T07:15:05+00:00
13182,1623,12791,27334,16841795,+10,,81,1361,Africa,2024-04-03,Somalia,,23778,400466,2024-04-03T07:15:05+00:00
18685,304493,10,18860,61939,+11,,2664,165,North-America,2024-04-03,Bermuda,+2,16622128,1029558,2024-04-03T07:15:05+00:00
12189,4935,65,12626,2558482,+28,,145,372,Africa,2024-04-03,Gambia,,60851,155686,2024-04-03T07:15:05+00:00
,146815,,42027,286259,+19,,657,188,Africa,2024-04-03,Mayotte,,618038,176919,2024-04-03T07:15:05+00:00
19358,173545,97,19693,113475,+10,4,2097,238,North-America,2024-04-03,Grenada,,1612523,182981,2024-04-03T07:15:05+00:00
36366,95087,874,38084,400516,,1,2107,844,North-America,2024-04-03,Bahamas,,643767,257839,2024-04-03T07:15:05+00:00
8939,10038,9,9109,907419,,,177,161,Africa,2024-04-03,Comoros,,,,2024-04-03T07:15:05+00:00
8929,4659,508,9614,2063367,,6,86,177,Africa,2024-04-03,Guinea-Bissau,,70385,145231,2024-04-03T07:15:05+00:00
4874,442,2633,7701,17413580,,,11,194,Africa,2024-04-03,Chad,,10988,191341,2024-04-03T07:15:05+00:00
11976,37346,29,12019,321832,,,44,14,Oceania,2024-04-03,Vanuatu,,77606,24976,2024-04-03T07:15:05+00:00
10905,251353,54,11051,43966,,,2093,92,North-America,2024-04-03,Sint-Maarten,,1411454,62056,2024-04-03T07:15:05+00:00
438,323256,3104,3550,10982,,,728,8,Oceania,2024-04-03,Wallis-and-Futuna,,1867419,20508,2024-04-03T07:15:05+00:00
,553746,,5507,9945,,,603,6,North-America,2024-04-03,St-Barth,,7908095,78646,2024-04-03T07:15:05+00:00
6559,122645,0,6607,53871,,,891,48,North-America,2024-04-03,Saint-Kitts-and-Nevis,,2356704,126958,2024-04-03T07:15:05+00:00
23102,17131,220,23460,1369429,,,101,138,Asia,2024-04-03,Timor-Leste,,203391,278529,2024-04-03T07:15:05+00:00
42438,410969,1494,44224,107609,,2,2714,292,North-America,2024-04-03,Aruba,,1653068,177885,2024-04-03T07:15:05+00:00
,58055,80,80,1378,,,,,Oceania,2024-04-03,Tokelau,,,,2024-04-03T07:15:05+00:00
2703,41201,2358,5085,123419,,3,194,24,Oceania,2024-04-03,Kiribati,,,,2024-04-03T07:15:05+00:00
54578,2982,0,57743,19364809,+7,,163,3165,Asia,2024-04-03,Syria,,7553,146269,2024-04-03T07:15:05+00:00
27847,2193,26,28036,12784726,,,13,163,Africa,2024-04-03,Benin,,47268,604310,2024-04-03T07:15:05+00:00
16121,268711,0,16138,60057,,,283,17,Oceania,2024-04-03,Marshall-Islands,,,,2024-04-03T07:15:05+00:00
41278,33752,696,43025,1274727,,,824,1051,Africa,2024-04-03,Mauritius,,281374,358675,2024-04-03T07:15:05+00:00
53569,4334,1114,54721,12624840,,,3,38,Africa,2024-04-03,Burundi,,27386,345742,2024-04-03T07:15:05+00:00
46168,5043,26,46864,9292169,,,72,670,Oceania,2024-04-03,Papua-New-Guinea,,26813,249149,2024-04-03T07:15:05+00:00
,609720,,20550,33704,,,3353,113,Europe,2024-04-03,Gibraltar,,15852213,534283,2024-04-03T07:15:05+00:00
,310194,,12324,39730,,,1586,63,North-America,2024-04-03,Saint-Martin,,2828643,112382,2024-04-03T07:15:05+00:00
9124,383,662,11945,31154867,,,69,2159,Asia,2024-04-03,Yemen,,10579,329592,2024-04-03T07:15:05+00:00
,256336,,3904,15230,,,788,12,North-America,2024-04-03,Anguilla,,3373736,51382,2024-04-03T07:15:05+00:00
2449,599410,1001,3452,5759,,,347,2,North-America,2024-04-03,Saint-Pierre-Miquelon,,4410488,25400,2024-04-03T07:15:05+00:00
,619844,,48015,77463,,,2130,165,Europe,2024-04-03,Andorra,,3225256,249838,2024-04-03T07:15:05+00:00
,703959,,34658,49233,,,569,28,Europe,2024-04-03,Faeroe-Islands,,15802409,778000,2024-04-03T07:15:05+00:00
,225953,,26547,117489,,,553,65,Oceania,2024-04-03,Micronesia,,701598,82430,2024-04-03T07:15:05+00:00
8954,91509,6,9106,99509,,,1467,146,North-America,2024-04-03,Antigua-and-Barbuda,,189943,18901,2024-04-03T07:15:05+00:00
,243909,,2943,12066,,,83,1,Oceania,2024-04-03,Tuvalu,,,,2024-04-03T07:15:05+00:00
,35989,,25954,721159,,,276,199,Oceania,2024-04-03,Solomon-Islands,,,,2024-04-03T07:15:05+00:00
,431868,,17181,39783,,,1684,67,Europe,2024-04-03,Monaco,,1976875,78646,2024-04-03T07:15:05+00:00
,241600,,7392,30596,,,2092,64,North-America,2024-04-03,British-Virgin-Islands,,3508269,107339,2024-04-03T07:15:05+00:00
9493,86723,57,9674,111551,,,1112,124,North-America,2024-04-03,St-Vincent-Grenadines,,1023720,114197,2024-04-03T07:15:05+00:00
