day,continent,cases_total,deaths_1M_pop,tests_1M_pop,cases_recovered,cases_new,cases_1M_pop,deaths_new,country,tests_total,time,deaths_total,cases_active,cases_critical,population
2024-06-27,North-America,18491,33,,4225,,2728,,Nicaragua,,2024-06-27T11:45:06+00:00,225,14041,,6779100
2024-06-27,Asia,17786,13,,17264,,1786,,Tajikistan,,2024-06-27T11:45:06+00:00,125,397,,9957464
2024-06-27,Africa,15690,186,301094,15427,,15441,,Djibouti,305941,2024-06-27T11:45:06+00:00,189,74,,1016097
2024-06-27,North-America,11971,369,2894810,2761,,210117,,Greenland,164926,2024-06-27T11:45:06+00:00,21,9189,4,56973
2024-06-27,Africa,10189,28,6470,10086,,2782,,Eritrea,23693,2024-06-27T11:45:06+00:00,103,0,,3662244
2024-06-27,Africa,9931,12,9759,8890,,381,,Niger,254538,2024-06-27T11:45:06+00:00,312,729,1,26083660
2024-06-27,Africa,2166,,,2,,354211,,Saint-Helena,,2024-06-27T11:45:06+00:00,,2164,,6115
2024-06-27,South-America,1930,,2439107,1930,,545352,,Falkland-Islands,8632,2024-06-27T11:45:06+00:00,,0,,3539
2024-06-27,North-America,1403,1611,3577442,1376,,282578,,Montserrat,17762,2024-06-27T11:45:06+00:00,8,19,,4965
2024-06-27,,712,,,699,,,,Diamond-Princess,,2024-06-27T11:45:06+00:00,13,0,,
2024-06-27,Europe,29,,,29,,36295,,Vatican-City,,2024-06-27T11:45:06+00:00,,0,,799
2024-06-27,Africa,10,2,,9,,16,,Western-Sahara,,2024-06-27T11:45:06+00:00,1,0,,626161
2024-06-27,,9,,,7,,,,MS-Zaandam,,2024-06-27T11:45:06+00:00,2,0,,
2024-06-27,Asia,503302,4,110461,379053,,347,,China,160000000,2024-06-27T11:45:06+00:00,5272,118977,,1448471400
2024-06-27,Africa,17229,122,244342,16907,+7,11512,,Equatorial-Guinea,365697,2024-06-27T11:45:06+00:00,183,139,5,1496662
2024-06-27,Africa,8090,56,26356,7783,,1525,,Liberia,139824,2024-06-27T11:45:06+00:00,295,12,2,5305117
2024-06-27,Oceania,5393,92,1881042,5347,,494635,,Nauru,20509,2024-06-27T11:45:06+00:00,1,45,,10903
2024-06-27,North-America,11682,1426,1130559,10476,+3,438398,,Caribbean-Netherlands,30126,2024-06-27T11:45:06+00:00,38,1168,,26647
2024-06-27,Africa,12626,145,60851,12189,+28,4935,,Gambia,155686,2024-06-27T11:45:06+00:00,372,65,,2558482
2024-06-27,Africa,9109,177,,8939,,10038,,Comoros,,2024-06-27T11:45:06+00:00,161,9,,907419
2024-06-27,Africa,9614,86,70385,8929,,4659,,Guinea-Bissau,145231,2024-06-27T11:45:06+00:00,177,508,6,2063367
2024-06-27,Africa,7701,11,10988,4874,,442,,Chad,191341,2024-06-27T11:45:06+00:00,194,2633,,17413580
2024-06-27,Oceania,12019,44,77606,11976,,37346,,Vanuatu,24976,2024-06-27T11:45:06+00:00,14,29,,321832
2024-06-27,North-America,11051,2093,1411454,10905,,251353,,Sint-Maarten,62056,2024-06-27T11:45:06+00:00,92,54,,43966
2024-06-27,Oceania,3550,728,1867419,438,,323256,,Wallis-and-Futuna,20508,2024-06-27T11:45:06+00:00,8,3104,,10982
2024-06-27,North-America,5507,603,7908095,,,553746,,St-Barth,78646,2024-06-27T11:45:06+00:00,6,,,9945
2024-06-27,North-America,6607,891,2356704,6559,,122645,,Saint-Kitts-and-Nevis,126958,2024-06-27T11:45:06+00:00,48,0,,53871
2024-06-27,Oceania,80,,,,,58055,,Tokelau,,2024-06-27T11:45:06+00:00,,80,,1378
2024-06-27,Oceania,5085,194,,2703,,41201,,Kiribati,,2024-06-27T11:45:06+00:00,24,2358,3,123419
2024-06-27,Africa,18819,13,35313,18115,,1620,,South-Sudan,410280,2024-06-27T11:45:06+00:00,147,557,1,11618511
2024-06-27,Europe,17181,1684,1976875,,,431868,,Monaco,78646,2024-06-27T11:45:06+00:00,67,,,39783
2024-06-27,Oceania,17006,153,926612,1605,,84089,,Samoa,187397,2024-06-27T11:45:06+00:00,31,15370,,202239
2024-06-27,Oceania,16950,121,4965327,15638,,157310,,Tonga,535009,2024-06-27T11:45:06+00:00,13,1299,,107749
2024-06-27,Oceania,16138,283,,16121,,268711,,Marshall-Islands,,2024-06-27T11:45:06+00:00,17,0,,60057
2024-06-27,North-America,16038,1023,3170187,15964,,221691,,Dominica,229344,2024-06-27T11:45:06+00:00,74,0,,72344
2024-06-27,Africa,15440,23,16205,15200,,3078,,CAR,81294,2024-06-27T11:45:06+00:00,113,127,2,5016678
2024-06-27,North-America,12324,1586,2828643,,,310194,,Saint-Martin,112382,2024-06-27T11:45:06+00:00,63,,,39730
2024-06-27,Asia,11945,69,10579,9124,,383,,Yemen,329592,2024-06-27T11:45:06+00:00,2159,662,,31154867
2024-06-27,North-America,9674,1112,1023720,9493,,86723,,St-Vincent-Grenadines,114197,2024-06-27T11:45:06+00:00,124,57,,111551
2024-06-27,North-America,9106,1467,189943,8954,,91509,,Antigua-and-Barbuda,18901,2024-06-27T11:45:06+00:00,146,6,,99509
2024-06-27,Africa,7779,15,31296,,,937,,Sierra-Leone,259958,2024-06-27T11:45:06+00:00,126,,,8306436
2024-06-27,North-America,7392,2092,3508269,,,241600,,British-Virgin-Islands,107339,2024-06-27T11:45:06+00:00,64,,,30596
2024-06-27,Oceania,7203,114,1120596,7150,,409937,,Cook-Islands,19690,2024-06-27T11:45:06+00:00,2,51,,17571
2024-06-27,Africa,6778,351,130008,6685,,29770,,Sao-Tome-and-Principe,29600,2024-06-27T11:45:06+00:00,80,13,,227679
2024-06-27,North-America,6752,1007,15520193,6709,,169900,,Turks-and-Caicos,616788,2024-06-27T11:45:06+00:00,40,3,4,39741
2024-06-27,Oceania,6290,548,3917841,6276,,344979,,Palau,71434,2024-06-27T11:45:06+00:00,10,4,,18233
2024-06-27,North-America,3904,788,3373736,,,256336,,Anguilla,51382,2024-06-27T11:45:06+00:00,12,,,15230
2024-06-27,North-America,3452,347,4410488,2449,,599410,,Saint-Pierre-Miquelon,25400,2024-06-27T11:45:06+00:00,2,1001,,5759
2024-06-27,Oceania,2943,83,,,,243909,,Tuvalu,,2024-06-27T11:45:06+00:00,1,,,12066
2024-06-27,Oceania,1059,,,1056,,652898,,Niue,,2024-06-27T11:45:06+00:00,,3,,1622
2024-06-27,North-America,45986,1782,3000640,44720,,277812,,Cura&ccedil;ao,496693,2024-06-27T11:45:05+00:00,295,971,3,165529
2024-06-27,Europe,38008,1353,1758422,,,443335,,Isle-of-Man,150753,2024-06-27T11:45:05+00:00,116,,,85732
2024-06-27,North-America,31472,550,3311280,8553,,467797,,Cayman-Islands,222773,2024-06-27T11:45:05+00:00,37,22882,1,67277
2024-06-27,Africa,25375,67,59991,24006,,4377,,Congo,347815,2024-06-27T11:45:05+00:00,386,983,,5797805
2024-06-27,South-America,98041,1337,2072951,11254,+13,312065,,French-Guiana,651257,2024-06-27T11:45:05+00:00,420,86367,6,314169
