tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
347815,386,59991,Africa,24006,25375,2024-03-28T13:30:05+00:00,,983,5797805,67,,2024-03-28,4377,Congo,
,225,,North-America,4225,18491,2024-03-28T13:30:05+00:00,,14041,6779100,33,,2024-03-28,2728,Nicaragua,
,125,,Asia,17264,17786,2024-03-28T13:30:05+00:00,,397,9957464,13,,2024-03-28,1786,Tajikistan,
305941,189,301094,Africa,15427,15690,2024-03-28T13:30:05+00:00,,74,1016097,186,,2024-03-28,15441,Djibouti,
164926,21,2894810,North-America,2761,11971,2024-03-28T13:30:05+00:00,,9189,56973,369,,2024-03-28,210117,Greenland,4
23693,103,6470,Africa,10086,10189,2024-03-28T13:30:05+00:00,,0,3662244,28,,2024-03-28,2782,Eritrea,
254538,312,9759,Africa,8890,9931,2024-03-28T13:30:05+00:00,,729,26083660,12,,2024-03-28,381,Niger,1
,,,Africa,2,2166,2024-03-28T13:30:05+00:00,,2164,6115,,,2024-03-28,354211,Saint-Helena,
8632,,2439107,South-America,1930,1930,2024-03-28T13:30:05+00:00,,0,3539,,,2024-03-28,545352,Falkland-Islands,
17762,8,3577442,North-America,1376,1403,2024-03-28T13:30:05+00:00,,19,4965,1611,,2024-03-28,282578,Montserrat,
,13,,,699,712,2024-03-28T13:30:05+00:00,,0,,,,2024-03-28,,Diamond-Princess,
,,,Europe,29,29,2024-03-28T13:30:05+00:00,,0,799,,,2024-03-28,36295,Vatican-City,
,1,,Africa,9,10,2024-03-28T13:30:05+00:00,,0,626161,2,,2024-03-28,16,Western-Sahara,
,2,,,7,9,2024-03-28T13:30:05+00:00,,0,,,,2024-03-28,,MS-Zaandam,
160000000,5272,110461,Asia,379053,503302,2024-03-28T13:30:05+00:00,,118977,1448471400,4,,2024-03-28,347,China,
365697,183,244342,Africa,16907,17229,2024-03-28T13:30:05+00:00,,139,1496662,122,+7,2024-03-28,11512,Equatorial-Guinea,5
139824,295,26356,Africa,7783,8090,2024-03-28T13:30:05+00:00,,12,5305117,56,,2024-03-28,1525,Liberia,2
20509,1,1881042,Oceania,5347,5393,2024-03-28T13:30:05+00:00,,45,10903,92,,2024-03-28,494635,Nauru,
30126,38,1130559,North-America,10476,11682,2024-03-28T13:30:05+00:00,,1168,26647,1426,+3,2024-03-28,438398,Caribbean-Netherlands,
1029558,165,16622128,North-America,18685,18860,2024-03-28T13:30:05+00:00,+2,10,61939,2664,+11,2024-03-28,304493,Bermuda,
155686,372,60851,Africa,12189,12626,2024-03-28T13:30:05+00:00,,65,2558482,145,+28,2024-03-28,4935,Gambia,
182981,238,1612523,North-America,19358,19693,2024-03-28T13:30:05+00:00,,97,113475,2097,+10,2024-03-28,173545,Grenada,4
,161,,Africa,8939,9109,2024-03-28T13:30:05+00:00,,9,907419,177,,2024-03-28,10038,Comoros,
145231,177,70385,Africa,8929,9614,2024-03-28T13:30:05+00:00,,508,2063367,86,,2024-03-28,4659,Guinea-Bissau,6
191341,194,10988,Africa,4874,7701,2024-03-28T13:30:05+00:00,,2633,17413580,11,,2024-03-28,442,Chad,
24976,14,77606,Oceania,11976,12019,2024-03-28T13:30:05+00:00,,29,321832,44,,2024-03-28,37346,Vanuatu,
62056,92,1411454,North-America,10905,11051,2024-03-28T13:30:05+00:00,,54,43966,2093,,2024-03-28,251353,Sint-Maarten,
20508,8,1867419,Oceania,438,3550,2024-03-28T13:30:05+00:00,,3104,10982,728,,2024-03-28,323256,Wallis-and-Futuna,
78646,6,7908095,North-America,,5507,2024-03-28T13:30:05+00:00,,,9945,603,,2024-03-28,553746,St-Barth,
126958,48,2356704,North-America,6559,6607,2024-03-28T13:30:05+00:00,,0,53871,891,,2024-03-28,122645,Saint-Kitts-and-Nevis,
278529,138,203391,Asia,23102,23460,2024-03-28T13:30:05+00:00,,220,1369429,101,,2024-03-28,17131,Timor-Leste,
,,,Oceania,,80,2024-03-28T13:30:05+00:00,,80,1378,,,2024-03-28,58055,Tokelau,
,24,,Oceania,2703,5085,2024-03-28T13:30:05+00:00,,2358,123419,194,,2024-03-28,41201,Kiribati,3
,17,,Oceania,16121,16138,2024-03-28T13:30:05+00:00,,0,60057,283,,2024-03-28,268711,Marshall-Islands,
534283,113,15852213,Europe,,20550,2024-03-28T13:30:05+00:00,,,33704,3353,,2024-03-28,609720,Gibraltar,
112382,63,2828643,North-America,,12324,2024-03-28T13:30:05+00:00,,,39730,1586,,2024-03-28,310194,Saint-Martin,
329592,2159,10579,Asia,9124,11945,2024-03-28T13:30:05+00:00,,662,31154867,69,,2024-03-28,383,Yemen,
51382,12,3373736,North-America,,3904,2024-03-28T13:30:05+00:00,,,15230,788,,2024-03-28,256336,Anguilla,
25400,2,4410488,North-America,2449,3452,2024-03-28T13:30:05+00:00,,1001,5759,347,,2024-03-28,599410,Saint-Pierre-Miquelon,
82430,65,701598,Oceania,,26547,2024-03-28T13:30:05+00:00,,,117489,553,,2024-03-28,225953,Micronesia,
18901,146,189943,North-America,8954,9106,2024-03-28T13:30:05+00:00,,6,99509,1467,,2024-03-28,91509,Antigua-and-Barbuda,
,1,,Oceania,,2943,2024-03-28T13:30:05+00:00,,,12066,83,,2024-03-28,243909,Tuvalu,
,199,,Oceania,,25954,2024-03-28T13:30:05+00:00,,,721159,276,,2024-03-28,35989,Solomon-Islands,
78646,67,1976875,Europe,,17181,2024-03-28T13:30:05+00:00,,,39783,1684,,2024-03-28,431868,Monaco,
107339,64,3508269,North-America,,7392,2024-03-28T13:30:05+00:00,,,30596,2092,,2024-03-28,241600,British-Virgin-Islands,
114197,124,1023720,North-America,9493,9674,2024-03-28T13:30:05+00:00,,57,111551,1112,,2024-03-28,86723,St-Vincent-Grenadines,
81294,113,16205,Africa,15200,15440,2024-03-28T13:30:05+00:00,,127,5016678,23,,2024-03-28,3078,CAR,2
229344,74,3170187,North-America,15964,16038,2024-03-28T13:30:05+00:00,,0,72344,1023,,2024-03-28,221691,Dominica,
196855,128,5775414,Europe,26011,26185,2024-03-28T13:30:05+00:00,,46,34085,3755,,2024-03-28,768226,San-Marino,
19690,2,1120596,Oceania,7150,7203,2024-03-28T13:30:05+00:00,,51,17571,114,,2024-03-28,409937,Cook-Islands,
